RBD,NOM_RBD,NOM_COM_RBD,lon,lat,Zona
8629,COLEGIO POLIT�CNICO SANTA ANA,QUINTA NORMAL,-70.6876949,-33.4375462,Zona Central
8631,COLEGIO ECHAURREN,ESTACION CENTRAL,-70.7163938,-33.4751266,Zona Central
8632,LICEO POLIVALENTE SANTA JULIANA,RECOLETA,-70.6531948,-33.4059885,Zona Central
8634,LICEO RUIZ TAGLE,ESTACION CENTRAL,-70.694748,-33.4638745,Zona Central
8636,LICEO LEONARDO MURIALDO,RECOLETA,-70.6403451,-33.430271,Zona Central
8639,LICEO Y COLEGIO NUEVO HISPANO CHILENO,SANTIAGO,-70.6709432,-33.4406702,Zona Central
8643,INSTITUTO COMERCIAL BLAS CANAS,SANTIAGO,-70.642302,-33.4454969,Zona Central
8644,COLEGIO INDUSTRIAL VASCO NUNEZ DE BALBOA,INDEPENDENCIA,-70.6613511,-33.4213625,Zona Central
8645,LICEO JOSE DOMINGO CANAS,QUILICURA,-70.7423475,-33.3655042,Zona Central
8649,COLEGIO LORENZO SAZIE,SANTIAGO,-70.6645715,-33.4496796,Zona Central
8650,COLEGIO SAN BENILDO,RECOLETA,-70.6526857,-33.4066229,Zona Central
8652,COLEGIO SAN ANTONIO,SANTIAGO,-70.6692017,-33.4377501,Zona Central
8654,COLEGIO POLITECNICO AVDA. INDEPENDENCIA,INDEPENDENCIA,-70.6596095,-33.4097718,Zona Central
8657,COLEGIO SAN ALBERTO,ESTACION CENTRAL,-70.6918176,-33.4706095,Zona Central
8658,COLEGIO FRANCISCO ARRIARAN,SANTIAGO,-70.6486989,-33.4591368,Zona Central
8659,ESCUELA PARTICULAR FRANCISCO ANDRES OLEA,SANTIAGO,-70.6465835,-33.4586888,Zona Central
8661,ESCUELA PARTICULAR GUILLERMO MATTA,SANTIAGO,-70.6431133,-33.4616763,Zona Central
8663,ESCUELA PARTICULAR HERMANOS MATTE,SANTIAGO,-70.6497059,-33.4753761,Zona Central
8665,ESCUELA BASICA N�43 PATRONATO SAN ANTONIO,SANTIAGO,-70.6381147,-33.4648011,Zona Central
8666,COLEGIO SANTA ISABEL,SANTIAGO,-70.6379123,-33.4682033,Zona Central
8671,ESCUELA PARTICULAR VICTORIA PRIETO,SANTIAGO,-70.6753396,-33.4450939,Zona Central
8674,ESCUELA PARTICULAR SAN LAZARO,SANTIAGO,-8.5199534,42.8856081,Norte Grande
8675,COLEGIO SANTA TERESITA DEL NINO JESUS,SANTIAGO,-70.6672098,-33.4360158,Zona Central
8676,ESCUELA MANUEL JOSE IRARRAZAVAL,SANTIAGO,-70.676168,-33.45929,Zona Central
8678,ESC.SILVIA SALAS EDWARDS,ESTACION CENTRAL,-70.6840482,-33.4668767,Zona Central
8680,COLEGIO ADVENTISTA PORVENIR,SANTIAGO,-70.630972,-33.454854,Zona Central
8681,COLEGIO ANGLO MAIPU,MAIPU,-70.7366072,-33.4933498,Zona Central
8682,COLEGIO RAFAEL SANHUEZA LIZARDI,RECOLETA,-70.6449742,-33.4286539,Zona Central
8684,COLEGIO JEAN JACQUES,INDEPENDENCIA,-70.665276,-33.401409,Zona Central
8685,ESCUELA BASICA PARTICULAR CLUB HIPICO,EL BOSQUE,-101.7364625,21.2157457,Norte Grande
8690,ESCUELA PARTICULAR AMOR DE DIOS,CERRILLOS,-70.6865628,-33.4792298,Zona Central
8697,COLEGIO ORATORIO DON BOSCO,SANTIAGO,-70.641625,-33.4551575,Zona Central
8699,ESCUELA PARTICULAR EL PEQUENO ESTUDIANTE,RECOLETA,-70.6340083,-33.4061101,Zona Central
8700,ESCUELA INSTITUTO CAMILO HENRIQUEZ,RECOLETA,-70.646648,-33.4076041,Zona Central
8703,ESCUELA BASICA N�728 MARYLAND COLLEGE,INDEPENDENCIA,-70.6587254,-33.4208507,Zona Central
8706,ESCUELA SAN BENILDO,RECOLETA,-70.651808,-33.4028261,Zona Central
8712,ESCUELA BASICA N�1319 DAVID MATARASSO 2,SANTIAGO,-70.6622312,-33.4334,Zona Central
8714,ESCUELA PARTICULAR RAMON FREIRE,RECOLETA,-70.6363965,-33.4080137,Zona Central
8715,COLEGIO SAO PAULO,ESTACION CENTRAL,-70.6936049,-33.4586169,Zona Central
8717,ESCUELA PARTICULAR SAINT HENRY SCHOOL,SANTIAGO,-86.8863684,36.0902443,Norte Grande
8718,ESCUELA PARTICULAR DANES,LA FLORIDA,-80.2372945,26.0761111,Norte Grande
8724,COLEGIO SAINT JOSEPH C. THOMAS SCHOOL,LA FLORIDA,-70.5708676,-33.5434103,Zona Central
8726,ESCUELA PARTICULAR THOMAS JEFFERSON,INDEPENDENCIA,-90.3955491,38.5398658,Norte Grande
8728,COLEGIO GEORGE WASHINGTON,INDEPENDENCIA,-70.6516444,-33.4249169,Zona Central
8739,ESCUELA PARTICULAR DIVINA MARIA,SANTIAGO,-70.6721423,-33.4361461,Zona Central
8740,COLEGIO MARIA LUISA VILLALON,SANTIAGO,-70.6744839,-33.4434947,Zona Central
8748,COLEGIO INSTITUTO ALONSO DE ERCILLA,SANTIAGO,-70.6666125,-33.437726,Zona Central
8750,COLEGIO ACADEMIA DE HUMANIDADES,RECOLETA,-70.6451171,-33.4235136,Zona Central
8754,COLEGIO HISPANO AMERICANO,SANTIAGO,-70.6394375,-33.4559072,Zona Central
8755,COLEGIO SAINT ROSE SCHOOL,SANTIAGO,-70.6365312,-33.4566455,Zona Central
8756,COLEGIO EXCELSIOR,SANTIAGO,-70.6685119,-33.4522981,Zona Central
8757,COLEGIO DE LOS SAGRADOS CORAZONES ALAMEDA,SANTIAGO,-70.6641497,-33.447685,Zona Central
8759,COLEGIO SANTA CECILIA,SANTIAGO,-70.6668814,-33.4408584,Zona Central
8761,COLEGIO INSTITUTO DE HUMANIDADES LUIS CAMPINO,PROVIDENCIA,-70.6110554,-33.4258856,Zona Central
8762,COLEGIO SANTA ELENA CARMELITAS MISIONERAS TERESIANA,SANTIAGO,-70.6697757,-33.4405451,Zona Central
8763,COLEGIO DE ADULTOS CENTRO DE ESTUDIOS LA ARAUCANA,SANTIAGO,-70.6612654,-33.4495,Zona Central
8768,LICEO JOSE MIGUEL CARRERA,SANTIAGO,-70.6681867,-33.4488978,Zona Central
8769,COLEGIO SANTA MARIA CERVELLON,INDEPENDENCIA,-70.6584207,-33.4107914,Zona Central
8780,ESCUELA MANUEL MONTT,SANTIAGO,-70.650888,-33.465811,Zona Central
8781,ESCUELA BASICA PARTICULAR STA BERNARDITA,SANTIAGO,-70.6313564,-33.4661091,Zona Central
8791,COLEGIO FILIPENSE,SANTIAGO,-70.661905,-33.4517156,Zona Central
8793,ESCUELA BASICA N�823 SPENDIX,�U�OA,-70.6210247,-33.4534209,Zona Central
8800,ESCUELA PART MARY AND GEORGE S SCHOOL,RECOLETA,-70.6398349,-33.4170331,Zona Central
8811,LICEO PROFESIONAL ABDON CIFUENTES,SANTIAGO,-70.6579655,-33.4475999,Zona Central
8812,LICEO INDUSTRIAL DE LA CONSTRUCCION VICTOR BEZANILLA SALINAS,SANTIAGO,-70.673073,-33.468648,Zona Central
8813,LICEO INDUSTRIAL Y DE MINAS IGNACIO DOMEY,RECOLETA,-70.6486984,-33.4254631,Zona Central
8814,LICEO INDUSTRIAL A-22 DE SANTIAGO,SANTIAGO,-70.6370617,-33.4576346,Zona Central
8815,COLEGIO SAN FRANCISCO DEL ALBA,LAS CONDES,-70.5367658,-33.4035512,Zona Central
8818,LICEO ALEXANDER FLEMING DE LAS CONDES,LAS CONDES,-70.5553265,-33.4260245,Zona Central
8819,LICEO RAFAEL SOTOMAYOR,LAS CONDES,-70.554113,-33.395159,Zona Central
8821,LICEO MUNICIPALIZADO AMANDA LABARCA,VITACURA,-70.5492425,-33.387789,Zona Central
8822,LICEO JUAN PABLO II DE LAS CONDES,LAS CONDES,-70.5358092,-33.4206068,Zona Central
8825,COLEGIO ANTARTICA CHILENA,VITACURA,-70.5592525,-33.38994,Zona Central
